0,Wed Oct 06 19:45:24 -0700 2010,  7:49PM, 13,10,23,6944,Baby rabbits! 3 male, and 0 female.
1,Wed Oct 06 19:45:25 -0700 2010,  7:49PM, 10,12,22,6500,Baby rabbits! 0 male, and 2 female.
2,Wed Oct 06 19:45:27 -0700 2010,  7:49PM, 11,10,21,6707,Baby rabbits! 1 male, and 0 female.
3,Wed Oct 06 19:45:28 -0700 2010,  7:49PM, 11,12,23,6803,Baby rabbits! 1 male, and 2 female.
0,Wed Oct 06 19:54:07 -0700 2010,  8: 13PM, 16,11,27,6869,Baby rabbits! 3 male, and 1 female.
2,Wed Oct 06 20:27:42 -0700 2010,  9:43PM, 13,10,23,6645,Baby rabbits! 2 male, and 0 female.
3,Wed Oct 06 20:40:45 -0700 2010,  10: 19PM, 12,13,25,6742,Baby rabbits! 1 male, and 1 female.
1,Wed Oct 06 20:49:25 -0700 2010,  10:42PM, 11,14,25,6442,Baby rabbits! 1 male, and 2 female.
0,Wed Oct 06 21:00:19 -0700 2010,  11: 12PM, 16,13,29,6792,Baby rabbits! 0 male, and 2 female.
0,Wed Oct 06 21:17:49 -0700 2010,  12:00AM, 10,10,20,6792,Baby rabbits! 0 male, and 2 female.
2,Wed Oct 06 21:34:16 -0700 2010,  12:45AM, 13,12,25,6581,Baby rabbits! 0 male, and 2 female.
3,Wed Oct 06 21:46:17 -0700 2010,  1: 18AM, 12,15,27,6679,Baby rabbits! 0 male, and 2 female.
1,Wed Oct 06 21:54:55 -0700 2010,  1:42AM, 15,14,29,6368,Baby rabbits! 4 male, and 0 female.
0,Wed Oct 06 22:05:47 -0700 2010,  2: 12AM, 10,12,22,6740,Baby rabbits! 0 male, and 2 female.
2,Wed Oct 06 22:39:34 -0700 2010,  3:44AM, 19,12,31,6493,Baby rabbits! 6 male, and 0 female.
2,Wed Oct 06 22:42:49 -0700 2010,  3:53AM, 12,12,24,6493,Baby rabbits! 6 male, and 0 female.
3,Wed Oct 06 22:51:30 -0700 2010,  4: 17AM, 16,17,33,6598,Baby rabbits! 4 male, and 2 female.
1,Wed Oct 06 23:00:06 -0700 2010,  4:41AM, 18,18,36,6278,Baby rabbits! 3 male, and 4 female.
